City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,totma,59.9747,42.7642,2.64,100,94,3.15,RU,1678227147
384,arraial do cabo,-22.9661,-42.0278,78.66,78,20,13.8,BR,1678226936
385,suraabad,40.8192,49.4687,42.73,71,76,10.22,AZ,1678227147
386,gallup,35.5281,-108.7426,55.24,16,0,17.27,US,1678226900
387,pitalito,1.8497,-76.0479,71.47,86,100,2.62,CO,1678227148
388,port elizabeth,-33.918,25.5701,71.31,92,77,5.01,ZA,1678227148
389,plettenberg bay,-34.0527,23.3716,64.06,93,28,5.39,ZA,1678227149
390,natal,-5.795,-35.2094,81.25,89,20,5.75,BR,1678227149
391,kahului,20.8947,-156.47,81.97,62,20,26.46,US,1678227150
392,terrace bay,48.7834,-87.1,29.23,87,79,2.35,CA,1678227150
393,naze,28.3667,129.4833,59.41,68,11,4.9,JP,1678227151
394,bilibino,68.0546,166.4372,-15.95,78,33,3.33,RU,1678227151
395,hobyo,5.3505,48.5268,78.53,76,28,15.26,SO,1678227152
396,bethanien,-26.502,17.1583,61.92,37,0,6.58,NA,1678227152
397,koutiala,12.3917,-5.4642,86.2,12,89,10.51,ML,1678227153
398,caramay,10.1815,119.236,74.46,90,1,5.73,PH,1678227153
399,timbiqui,2.7717,-77.6654,77.92,87,100,3.36,CO,1678227153
400,linjiang,41.8069,126.9078,36.41,86,88,1.12,CN,1678227154
401,nizhniy baskunchak,48.2198,46.8311,35.46,69,57,15.1,RU,1678227154
402,portland,45.5234,-122.6762,51.46,68,75,3.0,US,1678226795
403,gobabis,-22.45,18.9667,72.1,24,83,5.08,NA,1678227155
404,noumea,-22.2763,166.4572,84.18,99,14,9.37,NC,1678227155
405,almenara,-16.1836,-40.6944,79.5,70,83,5.1,BR,1678226882
406,timiryazevskiy,56.49,84.8769,27.09,79,100,8.75,RU,1678227156
407,hambantota,6.1241,81.1185,75.54,100,0,5.75,LK,1678227156
408,colares,38.7992,-9.4469,61.79,96,99,20.0,PT,1678227156
409,isla mujeres,21.2311,-86.731,84.16,64,43,9.13,MX,1678227157
410,mendoza,-32.8908,-68.8272,86.88,26,0,8.14,AR,1678227157
411,pangnirtung,66.1451,-65.7125,27.7,78,100,6.67,CA,1678227157
412,vung tau,10.346,107.0843,73.72,75,89,14.47,VN,1678227158
413,laguna,38.421,-121.4238,57.02,47,40,6.91,US,1678227158
414,salalah,17.0151,54.0924,77.09,38,0,3.44,OM,1678227159
415,labuhan,-6.8844,112.2051,75.83,88,97,4.83,ID,1678227159
416,mayo,38.8876,-76.5119,52.39,28,0,23.02,US,1678227159
417,quatre cocos,-20.2078,57.7625,75.09,83,84,13.35,MU,1678227160
418,luderitz,-26.6481,15.1594,61.0,89,0,8.57,NA,1678227160
419,hima,0.2958,30.1804,73.81,56,90,0.65,UG,1678227160
420,esmeralda,21.8525,-78.1169,82.74,38,0,11.92,CU,1678227161
421,pimentel,-6.8367,-79.9342,82.69,61,75,13.8,PE,1678227161
422,coihaique,-45.5752,-72.0662,55.35,54,75,6.91,CL,1678227162
423,udachnyy,66.4167,112.4,-8.55,69,100,6.24,RU,1678227162
424,vardo,70.3705,31.1107,8.58,72,61,19.57,NO,1678227162
